Name,"Pub Dates",Added
scdney,"2018-08-22, 2019-12-24",2019-07-24
scDoc,"2020-05-04, NA",2020-02-20
scdrake,2023-07-06,2023-07-14
scDREAMER,"2023-11-27, NA",2022-08-12
scDRS,"2022-09-01, NA",2022-03-11
scDrug,2023,2022-12-09
scDrugPrio,NA,2023-11-17
scds,"2019-09-10, NA",2019-03-15
sceb,NA,2018-08-24
scEC,NA,2022-03-11
Scedar,"NA, 2020-04-27",2018-11-13
scEFSC,2022-04,2022-05-06
SCell,2016-04-19,2016-09-08
SCellBOW,NA,2023-01-13
scellpam,2023-09-14,2023-10-20
SCelVis,"NA, 2020-02-19",2019-08-05
scEMAIL,2023-01,2023-01-13
SCENA,2021-06-23,2021-07-02
SCENIC,"2017-10-09, 2020-06-19, NA",2017-06-26
scenicplus,"2023-07-13, NA",2022-08-26
SCEnt,,2021-10-02
SCENT,"2017-06-01, 2020-11-27, NA",2016-11-09
scEpath,2018-02-05,2018-02-13
Sceptic,NA,2023-11-10
scETM,"2021-09-06, NA",2021-06-11
SCEVAN,"2023-02-25, NA",2021-12-10
scEvoNet,"NA, 2023-03-06",2022-12-16
scFates,"2022-11-17, NA",2021-03-05
scFBA,"NA, 2019-02-28",2018-02-05
scFEA,"2023-05-22, NA, NA, 2021-07-22",2020-10-05
scFeatureFilter,2018-03-28,2018-05-01
scFeatures,"2022-08-30, NA",2022-02-04
scfind,"2021-03-01, NA",2019-10-09
scFlow,NA,2021-09-03
scFormer,NA,2022-12-02
scFseCluster,2023-10-03,2023-10-27
scFusion,"2022-02-28, NA",2021-01-08
scGAE,"2021-10-08, NA",2021-02-19
scGAN,"2020-01-09, NA",2019-05-17
scGate,"2022-03-08, NA",2021-11-12
scGBM,NA,2023-05-12
scGCL,2023-02-24,2023-03-03
scGEAToolbox,"2019-11-07, NA",2019-02-25
scGen,"2019-07-29, NA",2019-08-05
scGeneFit,"2021-02-19, NA",2019-04-05
scGeom,NA,2023-10-20
scGESTALT,"2018-10-23, NA",2018-10-29
scGNN,"2021-03-25, NA",2020-08-14
scGNN2,2022-10-17,2022-10-28
scGOclust,NA,2024-01-19
scGPS,,2018-07-18
scGPT,NA,2023-05-28
scGraph,2022-04-08,2022-05-01
scGraphNE,,2023-07-28
scGREAT,NA,2023-02-03
scGTM,"2022-06-27, NA",2021-12-03
scGWAS,2022-10-17,2022-10-28
schema,"NA, 2021-05-03",2020-12-13
schex,2019-12-03,2019-07-24
scHinter,2019-08-08,2019-08-19
SCHiRM,NA,2018-06-19
schist,"NA, 2021-11-30",2020-07-10
scHLAcount,"2020-04-24, NA",2019-09-02
SCHNAPPs,"2021-12, NA",2019-05-17
SCHNEL,"2020-12-29, NA",2020-04-01
scHOT,,2020-04-29
scHPF,"NA, NA, 2019-02-22",2018-11-13
scHPL,2021-05-14,2021-08-27
scHumanNet,"2022-11-09, NA",2022-06-24
scIAE,2021-12-16,2022-01-06
scIB,"2021-12-23, NA",2020-05-29
SCIBER,2022-12-22,2022-05-01
SciBet,"2020-04-14, NA",2021-05-21
sciCAN,"2022-09-12, NA",2021-12-03
scicast,,2018-11-13
sciCSR,"2023-11-06, NA",2023-02-10
scID,"2020-03, NA",2018-11-16
scIGANs,"2020-06-26, NA",2020-01-30
scIHPF,NA,2021-07-16
SCILEN,2021-10-22,2021-10-29
Scillus,,2020-07-10
SCIM,"2020-12-29, NA",2020-06-16
SCIMITAR,"NA, 2016-11-22",2016-09-12
scImpute,"2018-03-08, NA",2017-05-30
SCINA,"NA, 2019-07-12",2019-03-07
SCINET,"2019-12, NA",2019-12-10
SCING,"2023-07, NA",2023-07-07
SCING-pipeline,,2023-07-07
scINSIGHT,"NA, 2022-03-21",2021-10-18
scIntegral,NA,2020-10-05
sciPENN,"2022-10-27, NA",2022-11-04
scipr,"NA, 2020-10-27",2020-05-18
scirpy,"2020-07-02, NA",2020-04-14
scisorseqr,"2021-01-19, NA",2021-02-05
ScisorWiz,"2022-05-23, NA",2022-05-03
scISR,2022-02-17,2021-07-16
SCISSORS,"2023-07-27, NA",2021-11-05
scITD,NA,2021-11-05
scIVA,,2018-12-13
Sciviewer,"2021-10-02, NA",2021-08-27
scJIVE,NA,2023-11-10
scJoint,"2022-01-20, NA",2022-02-04
scKB,2022-12,2022-10-07
scKINETICS,2023-06-30,2023-07-14
scLANE,NA,2024-01-05
scLAPA,NA,2021-01-08
scLCA,"2019-09-30, NA",2019-10-09
scLINE,2021-09,2021-09-10
SClineager,"2021-01, NA",2020-01-08
scLink,"2021-07, NA",2020-10-05
scLKME,NA,2023-11-17
scLRTC,"2021-11-29, NA",2021-12-10
scLVM,2015-01-19,2016-09-08
scMAGeCK,"NA, NA, 2020-01-24",2020-02-05
scMAGIC,2022-01-05,2022-01-14
scMAGS,"2023-03, NA",2022-03-25
scmap,"2018-04-02, NA",2017-06-23
scMAPA,"2022-04-30, NA",2022-05-06
scMappR,"2021-02-23, NA",2020-03-12
SCMAPpy,,2022-06-10
SCMarker,"NA, 2019-10-28",2018-07-18
scMatch,2019-04-26,2019-05-07
scMayoMap,"NA, 2023-10-20",2023-05-26
scMC,2021-01-04,2021-01-15
scMCA,2018-02,2018-02-23
scMDC,2022-12-13,2023-01-04
scMEGA,"2023-01-01, NA",2022-08-26
SCMER,"2021-05-20, NA",2020-12-13
scMerge,"2023-07-17, 2019-04-26, 2019-09-16, NA, NA, NA",2018-08-17
scMetric,NA,2018-11-13
scMGCA,2023-01-25,2023-02-03
scMiko,"2022-10-28, NA, NA",2022-03-18
scMINER,NA,2023-02-03
scmixture,"2023-10-01, NA",2021-07-31
scMLnet,2020-12-21,2021-01-08
scMM,"2021-09, NA, 2021",2021-02-26
scModels,NA,2019-06-06
scMOG,2023-04-28,2023-05-28
scMoMaT,"2023-01-24, NA",2023-02-03
scMomentum,NA,2021-01-08
scMOO,2022-04-29,2022-05-06
scMRA,2021-10-08,2021-10-18
scMRMA,2021-10-14,2021-10-22
scMTD,2022-09-02,2022-09-09
scMuffin,"NA, 2023-11-27",2022-06-03
scMultiSim,NA,2023-03-10
SCmut,2019-04-26,2019-05-07
scMVAE,2020-11-17,2020-11-22
scNanoGPS,NA,2023-01-27
scNAT,2023-12-18,2024-01-05
scNBMF,2019-04-05,2019-04-16
scNCA,NA,2019-02-25
scNetViz,2021-06-07,2021-06-18
SCNorm,"2017-04-17, NA",2016-11-29
scNPF,2019-05-08,2019-05-17
SCNS,2018-05-25,2018-06-01
scNym,"NA, 2021-02-24",2020-06-16
SCODE,"2017-04-04, NA",2016-11-29
SCOIT,,2022-08-12
SComatic,NA,2022-12-02
scone,"2019-04, NA",2016-09-08
scOntoMatch,"2023-10-14, NA",2023-01-27
SCope,"2018-08, NA",2018-06-15
scopeplus,NA,2023-11-03
SCORPION,NA,2023-01-27
SCORPIUS,NA,2016-10-11
SCOUP,,2016-09-08
SCOUT,2019-06,2019-04-05
scover,"NA, 2023-08-15",2022-05-06
SCP,,2022-11-04
SCPA,"2022-11, NA",2022-02-11
scPagwas,"2023-09, NA",2023-03-10
scPanoView,"NA, 2019-08-30",2019-09-09
SCPattern,NA,2016-09-09
scPCA,"2020-03-16, NA, 2020-02-25",2019-11-12
scPharm,NA,2024-01-19
scphaser,2016-08-06,2016-09-09
scPheno,NA,2023-03-10
scPhere,"2021-05-05, NA",2019-12-01
scPipe,"NA, 2018-08-10",2017-06-30
scPlant,"2023-05, NA",2023-07-01
scploid,2017-11-25,2017-12-07
scPlot,"2020-07-27, NA",2019-11-03
scPNMF,"2021-07-01, NA",2021-02-12
scpoisson,"2023-06-17, NA",2023-02-24
scPOP,"2021-10, NA",2021-08-01
scPopCorn,"2019-06, NA",2019-06-28
scPOST,"NA, 2021",2020-11-29
scPower,"2021-11-16, NA",2020-04-13
scPRAM,,2024-01-05
scPred,"NA, 2019-12-12",2018-07-18
scprep,,2019-11-03
scPretrain,"2022-01-06, NA",2020-11-22
scPrisma,"2023-02-27, NA",2023-03-03
scProject,NA,2021-09-03
scProximitE,"2022-09-23, NA",2022-05-20
scPSD,"2022-05-25, NA",2021-10-29
scPSM,2022-07-12,2022-08-12
SCpubr,NA,2022-03-11
scQA,"2024-12, NA",2023-03-31
SCQC,2020-01,2019-03-01
scQCEA,2023-07-06,2023-07-14
scQcut,NA,2021-08-06
scQuint,"NA, 2022-03-01",2021-04-30
SCRABBLE,2019-05-06,2019-05-17
scRAE,NA,2021-08-07
scran,"2018-04-02, NA, 2016-04-27",2016-09-08
scRANK,NA,2023-10-27
scRare,,2022-10-14
scRAS,,2022-12-09
SCRAT,,2018-06-19
scRCMF,2020-05,2019-09-02
SCReadCounts,"NA, 2021-09-22",2020-11-29
scReadSim,"2023-11-18, NA",2022-06-03
scReClassify,2019-12-24,2020-01-02
scRecover,NA,2019-06-20
scREhurdle,2019-06-17,2019-04-07
scriabin,"2023-05-11, NA",2022-02-11
Scribe,"2020-03, NA",2019-05-23
SCRIP,2021-12-07,2021-12-17
SCRIPro,NA,2024-01-05
SCRL,2017-08-28,2017-09-09
scRMD,"2020-03-02, NA",2018-11-13
scRNA,2019-12-30,2020-01-10
scRNABatchQC,2019-08-02,2019-08-12
scRNAbox,NA,2023-11-17
scRNAseqApp,,2023-05-05
scRNASequest,2023-05-02,2023-05-26
scRNAss,2019-04-05,2019-04-16
scROSHI,"2022-06-01, NA",2022-05-01
Scrublet,"2019-04, NA",2018-07-18
scruff,"NA, 2019-05-02",2018-06-27
scRutiNy,,2017-11-20
scry,,2020-04-29
SCSA,"NA, 2020-05-12",2020-01-02
scSampler,"2022-04-15, NA",2022-01-22
SCSC,2023,2021-06-11
scScope,"2019-03-18, NA",2019-03-25
scSDAE,2020-05-11,2020-05-18
scSemiAE,"2022-05-05, NA",2021-11-20
scSemiCluster,2020-10-24,2020-11-08
scSensitiveGeneDefine,2021-04-22,2021-04-30
scSeqComm,2022-01-19,2022-02-04
scSeqR,,2018-11-09
scShaper,"2021-12-09, NA",2021-05-07
scShapes,"2022-12-28, NA",2021-10-29
scSHARP,"2023-06-01, NA",2023-06-02
scShift,NA,2023-11-17
scsim,"NA, 2019-07-08",2019-07-24
scSimClassify,"2021-07, NA",2021-06-04
SCSit,2021,2021-08-27
scSniper,NA,2023-12-01
scSNPdemux,2023-08-31,2023-09-08
scsnv,2021-05-07,2021-05-14
scSO,2021-03-31,2021-04-12
scSorter,2021-02-22,2021-02-26
scSpace,"2023-04-29, NA",2022-05-20
scSPARKL,NA,2023-05-05
scSplit,"NA, 2019-12-19",2019-03-15
scSTEM,2022-07-07,2022-08-12
scSVA,NA,2019-01-14
scTab,NA,2023-10-27
scTCRseq,,2017-09-09
scTDA,2017-05-01,2017-05-09
scTE,"2021-03-05, NA",2021-03-12
scTenifoldKnk,"NA, 2021",2021-03-26
scTenifoldNet,"2020-12, NA",2020-02-21
scTenifoldpy,2020-12,2021-11-20
scTensor,"NA, NA, 2023-11-07",2019-03-15
scTEP,2023-02-20,2022-09-30
scTGIF,,2019-11-03
scTHI,,2020-04-29
scTIE,"NA, 2023-12-15",2024-01-05
scTIM,2019-12-17,2020-01-02
scTITANS,2021,2021-07-31
scTM,,2023-08-24
scTOP,"NA, 2023-11-01",2022-03-25
scTopoGAN,"2023-01-01, NA",2023-05-12
scTour,"NA, 2023-06-23",2022-05-03
sctransform,,2018-07-27
scTree,2020-04-26,2020-05-05
scTreeViz,,2021-10-29
scTriangulate,"2023-01-25, NA",2021-11-05
scTSSR,2020-02-19,2020-03-03
ScType,"2022-03-10, NA",2022-03-18
scTyper,2020-08-04,2020-08-14
SCUBA,2014-12-15,2016-09-12
SCUBI,2022-01,2022-01-14
scumi,"2020-04-06, NA",2019-05-17
scUnifrac,"NA, 2018-10-22",2018-06-01
SCUREL,"NA, 2021-09-14",2021-11-05
scUTRquant,NA,2021-11-27
scuttle,"2017-01-14, NA",2020-10-30
scVAE,"2020-05-16, NA",2018-05-18
scVAEIT,"2022-12-02, NA",2022-11-04
scVDMC,2018-04-09,2018-04-17
scVEGs,2016-08-22,2016-09-09
scVelo,"2020-08-03, NA",2019-11-03
scvi-tools,"2022-03, 2022-02-07, 2018-11-30, 2021-02-15, 2023-05-16, 2020-03-16, NA, NA, NA, NA, NA, NA, NA, NA, NA, 2021-01-25, NA",2018-04-04
scViewer,2023-05-27,2023-09-08
scViralQuant,NA,2023-08-04
scVirtualCyto,"2020-04-20, NA",2019-11-21
scvis,"2018-05-21, NA",2018-11-15
scvr,"NA, 2021-10-28",2020-08-06
scWizard,2022-08,2022-09-02
scX,NA,2023-11-10
scziDesk,2020-05-25,2020-06-05
SDAMS,,2021-08-06
SDImpute,2021-06-17,2021-06-25
SEACells,"2023-03-27, NA",2022-04-08
SEAT,"2022-11-14, NA",2022-10-28
secDrug,2022-03-09,2022-03-18
Secuer,2022-12-05,2022-12-09
SEDIM,2021-09-22,2021-10-02
SEGtool,2017-07-07,2017-07-16
SelfE,2020,2020-07-03
SELINA,"2023-08, NA, 2022",2022-01-14
SEMITONES,"2022-07-31, NA",2020-11-22
SenePy,NA,2023-09-08
SEPA,,2016-09-08
SEPIRA,NA,2019-03-01
seqgendiff,"NA, 2020-05-24",2019-09-09
SEQUIN,"NA, 2022",2022-03-04
SERGIO,"2020-09, NA",2019-10-24
SERM,"2022-11-21, NA",2022-02-04
Seurat,"2019-06, 2021-06, 2015-04-13, 2018-04-02, 2023-05-25, NA, NA, NA, NA, NA, 2019-12-23",2016-09-08
SeuratV3Wizard,,2019-03-01
SeuratWizard,,2019-01-18
SEVtras,2023-12-04,2023-12-08
sfaira,,2021-01-08
ShareNet,2021-07-12,2021-08-06
SHARP,"NA, 2020-01-28",2018-11-09
Sharq,NA,2018-01-25
ShinyCell,"2021-03-28, NA",2020-11-08
ShinyMultiome-UiO,NA,2023-07-14
SiCeLoRe,"2020-08-12, NA",2020-03-25
SICILIAN,"NA, 2021-08-05",2020-04-17
SiCR,NA,2023-08-11
Sierra,"NA, 2020-07-08",2019-12-11
SIEVE,2021-04,2021-05-07
SiFINeT,NA,2023-06-02
SiFT,NA,2023-01-27
SigEMD,2018-08,2018-05-01
sigGCN,"NA, 2021-07-08",2021-06-18
SigHotSpotter,2019-11-07,2019-11-15
SIGMA,NA,2021-05-14
signac,NA,2019-07-11
SignacX,"NA, 2023",2021-02-05
signifinder,NA,2023-03-17
SILGGM,2018-08-13,2018-08-17
SIMBA,"2023-05-29, NA",2021-10-22
SimCD,NA,2021-04-12
SimiC,"2022-04-12, NA",2020-04-13
SIMLR,"2018-01-24, 2017-03-06, NA, NA",2016-09-09
simpleaf,"2023-10-01, NA",2023-03-31
SIMPLEs,"2020-09-28, NA",2020-01-20
SIMS,NA,2022-05-01
simspec,"NA, 2020-09-01",2020-03-12
SINC,2019-10-24,2019-11-03
Sincast,"2022-03-31, NA",2021-11-12
sincell,"2015-06-22, NA",2016-09-08
SINCERA,"2018-03-06, 2015-11-24",2016-09-08
SINCERITIES,"2017-09-14, NA",2017-09-21
SinCHet,2017-05-04,2017-11-20
SinCMat,2024-01,2024-01-19
SingCellaR,2022-06,2022-04-08
SINGE,"2022-02, NA",2019-02-05
SingleCellExplorer,2019-08-27,2019-09-02
SingleCellGGM,NA,2023-02-10
singleCellHaystack,"2020-08-28, 2023-07-22, NA, NA",2019-02-25
singleCellHaystack-py,2023-07-22,2023-07-28
SingleCellNet,"2019-08, NA",2019-08-12
SingleCellSignalR,"2020-03-20, NA",2019-12-18
SingleCellSignatureExplorer,"2019-07-11, NA",2019-05-07
singleCellTK,"2022-03-30, NA, NA, NA, 2022",2018-05-13
SinglePointRNA,NA,2023-05-28
SingleR,"2019-01-14, NA",2018-06-08
singleseqgset,2020-01,2020-05-29
SingleSplice,2016-01-05,2017-01-24
singlet,,2017-12-20
SinNLRR,2019-03-01,2019-03-07
SinQC,2016-04-10,2016-09-08
Sinto,,2020-05-22
SIP,NA,2018-11-13
SiPSiC,NA,2023-03-31
sircel,"NA, 2019-01-17",2017-05-21
SISUA,2020-08-01,2019-12-11
siVAE,"NA, 2023-02-20",2023-02-24
SJD,NA,2022-11-11
SkewC,"2023-03, NA",2023-01-27
slalom,"NA, 2017-11-07",2016-11-29
sleepwalk,"NA, 2020-05-19",2019-04-16
SLICE,2016-12-19,2017-01-10
SLICER,"NA, 2016-05-23",2016-09-08
SLIDE,NA,2022-12-02
slingshot,"NA, 2018-06-19",2016-09-09
SMAI,NA,2023-08-11
SMaSH,"NA, 2022-08-08",2023-06-02
SMGR,2022-07-27,2022-08-19
SMILE,"2021-10-08, NA",2021-02-05
SMNN,"2020-06-26, NA",2019-06-20
SMSC,2020-10-01,2020-10-15
SMURF,"2023-01-28, NA",2022-05-20
SnapATAC2,"2024-01-08, NA",2023-10-20
SnapCCESS,"2023-06-01, NA",2023-02-24
SNN-Cliq,2015-02-11,2018-11-13
SoCube,2023-03-20,2023-03-24
solo,"2020-07, NA",2019-11-21
SoloTE,2022-10-06,2022-10-14
SoptSC,"2019-03-29, NA",2017-08-07
SOUP,"2018-12-26, NA",2019-01-11
souporcell,"2020-05-04, NA",2019-07-15
SoupX,"2020-12-26, NA",2018-05-13
SPADE,"2011-10-02, 2016-06-16",2016-09-09
SpaOTsc,2020-04-29,2020-05-07
sparca,NA,2023-03-03
SparseDC,2017-11-13,2017-11-21
SPARSim,2019-10-09,2019-10-28
SPaRTAN,"2021-09-09, NA",2021-01-08
SpatialScope,"2023-11-29, NA",2023-03-24
SPECK,"2023-01-01, NA",2022-10-14
speckle,"2022-08-25, NA",2021-12-03
Specter,"NA, 2021-02-24",2020-06-16
SPECTRA,"2023-09-21, NA",2023-01-04
Spectre,"2021-04-26, NA",2021-11-05
Spectrum,"2019-09-10, NA",2019-05-23
SPEEDI,NA,2023-11-10
Sphetcher,2020-06,2021-11-05
splattdr,NA,2021-09-17
Splatter,"NA, NA, 2017-09-12, 2021-12",2016-10-27
spliceJAC,2022-11-02,2022-11-11
SPmarker,"NA, 2022-02-24",2021-10-18
SPRING,"2017-12-07, NA",2016-12-05
